SampleName,DataFile,SampleID,microbe,hour,rep,equation
2BLANK01,JTB-E02-189-05,FF02B01,FF,02,B01,FF02B01
2CTRL01,JTB-E02-189-18,FF02C01,FF,02,C01,FF02C01
2EMPTY01,JTB-E02-189-19,FF02E01,FF,02,E01,FF02E01
2REP01,JTB-E02-189-20,FF02R01,FF,02,R01,FF02R01
2REP02,JTB-E02-189-21,FF02R02,FF,02,R02,FF02R02
2REP03,JTB-E02-189-22,FF02R03,FF,02,R03,FF02R03
2REP04,JTB-E02-189-23,FF02R04,FF,02,R04,FF02R04
2REP05,JTB-E02-189-24,FF02R05,FF,02,R05,FF02R05
24BLANK01,JTB-E02-190-05,FF24B01,FF,24,B01,FF24B01
24CTRL01,JTB-E02-190-08,FF24C01,FF,24,C01,FF24C01
24EMPTY01,JTB-E02-190-09,FF24E01,FF,24,E01,FF24E01
24REP01,JTB-E02-190-10,FF24R01,FF,24,R01,FF24R01
24REP02,JTB-E02-190-11,FF24R02,FF,24,R02,FF24R02
24REP03,JTB-E02-190-12,FF24R03,FF,24,R03,FF24R03
24REP04,JTB-E02-190-13,FF24R04,FF,24,R04,FF24R04
24REP05,JTB-E02-190-14,FF24R05,FF,24,R05,FF24R05
48BLANK01,JTB-E02-191-06,FF48B01,FF,48,B01,FF48B01
48CTRL01,JTB-E02-191-09,FF48C01,FF,48,C01,FF48C01
48EMPTY01,JTB-E02-191-10,FF48E01,FF,48,E01,FF48E01
48REP01,JTB-E02-191-11,FF48R01,FF,48,R01,FF48R01
48REP02,JTB-E02-191-12,FF48R02,FF,48,R02,FF48R02
48REP03,JTB-E02-191-13,FF48R03,FF,48,R03,FF48R03
48REP04,JTB-E02-191-14,FF48R04,FF,48,R04,FF48R04
48REP05,JTB-E02-191-15,FF48R05,FF,48,R05,FF48R05
2BLANK01,JTB-E02-192-06,PA02B01,PA,02,B01,PA02B01
2CTRL01,JTB-E02-192-12,PA02C01,PA,02,C01,PA02C01
2CTRL02,JTB-E02-192-13,PA02C02,PA,02,C02,PA02C02
2CTRL03,JTB-E02-192-14,PA02C03,PA,02,C03,PA02C03
2REP01,JTB-E02-192-15,PA02R01,PA,02,R01,PA02R01
2REP02,JTB-E02-192-16,PA02R02,PA,02,R02,PA02R02
2REP03,JTB-E02-192-17,PA02R03,PA,02,R03,PA02R03
2REP04,JTB-E02-192-18,PA02R04,PA,02,R04,PA02R04
24BLANK02,JTB-E02-193-07,PA24B02,PA,24,B02,PA24B02
24CTRL01,JTB-E02-193-11,PA24C01,PA,24,C01,PA24C01
24CTRL02,JTB-E02-193-12,PA24C02,PA,24,C02,PA24C02
24CTRL03,JTB-E02-193-13,PA24C03,PA,24,C03,PA24C03
24REP01,JTB-E02-193-14,PA24R01,PA,24,R01,PA24R01
24REP02,JTB-E02-193-15,PA24R02,PA,24,R02,PA24R02
24REP03,JTB-E02-193-16,PA24R03,PA,24,R03,PA24R03
24REP04,JTB-E02-193-17,PA24R04,PA,24,R04,PA24R04
48BLANK02,JTB-E02-194-07,PA48B02,PA,48,B02,PA48B02
48CTRL01,JTB-E02-194-11,PA48C01,PA,48,C01,PA48C01
48CTRL02,JTB-E02-194-12,PA48C02,PA,48,C02,PA48C02
48CTRL03,JTB-E02-194-13,PA48C03,PA,48,C03,PA48C03
48REP01,JTB-E02-194-14,PA48R01,PA,48,R01,PA48R01
48REP02,JTB-E02-194-15,PA48R02,PA,48,R02,PA48R02
48REP03,JTB-E02-194-16,PA48R03,PA,48,R03,PA48R03
48REP04,JTB-E02-194-17,PA48R04,PA,48,R04,PA48R04
