datafile,microbe,juice,hour,type,rep,SampleID,spme
JTB-E18-008-04.D,FFandPA,10BB,2,B,B01,FFandPA10BB2B01,
JTB-E18-008-07.D,FFandPA,10BB,2,P,P01,FFandPA10BB2P01,BAC-03
JTB-E18-008-08.D,FFandPA,10BB,2,P,P02,FFandPA10BB2P02,BAC-01
JTB-E18-008-09.D,FFandPA,10BB,2,P,P03,FFandPA10BB2P03,BAC-01
JTB-E18-008-10.D,FFandPA,10BB,2,R,R01,FFandPA10BB2R01,BAC-03
JTB-E18-008-11.D,FFandPA,10BB,2,R,R02,FFandPA10BB2R02,BAC-01
JTB-E18-008-12.D,FFandPA,10BB,2,R,R03,FFandPA10BB2R03,BAC-02
JTB-E18-008-13.D,FFandPA,10BB,2,R,R04,FFandPA10BB2R04,BAC-03
JTB-E18-009-04.D,FFandPA,10BB,24,B,B02,FFandPA10BB24B02,
JTB-E18-009-07.D,FFandPA,10BB,24,P,P01,FFandPA10BB24P01,BAC-01
JTB-E18-009-08.D,FFandPA,10BB,24,P,P02,FFandPA10BB24P02,BAC-02
JTB-E18-009-09.D,FFandPA,10BB,24,P,P03,FFandPA10BB24P03,BAC-03
JTB-E18-009-10.D,FFandPA,10BB,24,R,R01,FFandPA10BB24R01,BAC-01
JTB-E18-009-11.D,FFandPA,10BB,24,R,R02,FFandPA10BB24R02,BAC-02
JTB-E18-009-12.D,FFandPA,10BB,24,R,R03,FFandPA10BB24R03,BAC-03
JTB-E18-009-13.D,FFandPA,10BB,24,R,R04,FFandPA10BB24R04,BAC-01
JTB-E18-010-04.D,FFandPA,10BB,48,B,B03,FFandPA10BB48B03,
JTB-E18-010-07.D,FFandPA,10BB,48,P,P01,FFandPA10BB48P01,BAC-1
JTB-E18-010-08.D,FFandPA,10BB,48,P,P02,FFandPA10BB48P02,BAC-2
JTB-E18-010-09.D,FFandPA,10BB,48,P,P03,FFandPA10BB48P03,BAC-3
JTB-E18-010-10.D,FFandPA,10BB,48,R,R01,FFandPA10BB48R01,BAC-1
JTB-E18-010-11.D,FFandPA,10BB,48,R,R02,FFandPA10BB48R02,BAC-2
JTB-E18-010-12.D,FFandPA,10BB,48,R,R03,FFandPA10BB48R03,BAC-3
JTB-E18-010-13.D,FFandPA,10BB,48,R,R04,FFandPA10BB48R04,BAC-01
