Peak_ID,Library/ID,FFandPA10BB2R01,FFandPA10BB2R02,FFandPA10BB2R03,FFandPA10BB2R04,FFandPA10BB24R01,FFandPA10BB24R02,FFandPA10BB24R03,FFandPA10BB24R04,FFandPA10BB48R01,FFandPA10BB48R02,FFandPA10BB48R03,FFandPA10BB48R04
Peak_001,1-Butanol,588402,479616,455071,457421,1006847,929857,836224,859230,1153967,1058651,922976,1050345
Peak_002,Heptanal,2808,3589,2214,2190,14183,8296,12921,10213,22841,12985,41891,19903
Peak_003,"1-Butanol, 3-methyl-",15325987,13235199,12195867,12915556,17194618,16530888,13595503,14534264,18228969,17347850,13109782,15796508
Peak_004,Acetoin,73255,149360,48037,122819,385464,566013,68605,540414,517491,693435,78399,1036610
Peak_005,2-Nonanone,8372,7576,5483,6546,16622,19744,12312,24075,24406,30681,9271,26232
Peak_006,endo-Borneol,134683,163116,189086,239998,452909,463761,295197,483220,612908,609307,327264,389356
Peak_007,"1, 1, 5-Trimethyl-1, 2-dihydronaphthalene",484779,484847,615686,619629,116517,30384,53487,68458,30045,17260,22342,19790
Peak_008,(-)-Myrtenol,4977,6407,8964,11178,20886,25226,14110,23918,29255,32014,18148,30496
Peak_009,"Phenol, 2-methoxy-",2854,5447,4589,5370,10115,6661,5492,9162,57303,81002,3210,57429
Peak_010,"Acetic acid, phenyl ester",32543,38958,36666,33696,40092,42639,30609,39518,52838,52016,38372,51093
Peak_011,2-Ethyl-1-hexanol,1493730,728133,957433,1103967,2833765,1015591,1439029,1617916,3156094,1049920,1114923,1400644
Peak_012,1-Octanol,37652,35768,33117,56154,40808,42181,28782,40651,34219,33363,18353,30792
Peak_013,3-Furanmethanol,162823,152039,135778,135471,166219,176091,141904,157929,171033,167708,134253,162573
Peak_014,Benzyl alcohol,57540,48518,46909,49891,65043,68423,62686,63202,72642,87908,61820,73764
Peak_015,Phenylethyl Alcohol,92287,89558,74667,81273,196029,261013,170544,200374,305670,398578,207052,325313
Peak_016,"p-Mentha-1(7),8(10)-dien-9-ol",6549,4817,7889,8265,12230,13764,11116,13270,16812,17893,11745,20095
Peak_017,trans-Isoeugenol,9111,9118,9706,12085,16591,21746,12646,22839,33163,27624,15158,27190
