Data File,microbe,juice,hour,type,rep,SampleID,spme,Name
JTB-E02-208-19.D,SWD,SB,24,BLANK,B01,SWDSB24B01,E-2,BLANK   E-2
JTB-E02-208-22.D,SWD,SB,24,CTRL01,C01,SWDSB24C01,E-2,CTRL01   E-2
JTB-E02-208-23.D,SWD,SB,24,REP01,R01,SWDSB24R01,E-2,REP01   E-2
JTB-E02-208-24.D,SWD,SB,24,CTRL02,C02,SWDSB24C02,E-2,CTRL02   E-2
JTB-E02-208-25.D,SWD,SB,24,REP02,R02,SWDSB24R02,E-2,REP02   E-2
JTB-E02-208-26.D,SWD,SB,24,CTRL03,C03,SWDSB24C03,E-2,CTRL03   E-2
JTB-E02-208-27.D,SWD,SB,24,REP03,R03,SWDSB24R03,E-2,REP03   E-2
JTB-E12-002-05.D,SWD,SB,48,BLANK,B01,SWDSB48B01,E-2,BLANK     E-2
JTB-E12-002-08.D,SWD,SB,48,CTRL01,C01,SWDSB48C01,E-2,CTRL01     E-2
JTB-E12-002-09.D,SWD,SB,48,REP01,R01,SWDSB48R01,E-2,REP01     E-2
JTB-E12-002-10.D,SWD,SB,48,CTRL02,C02,SWDSB48C02,E-2,CTRL02     E-2
JTB-E12-002-11.D,SWD,SB,48,REP02,R02,SWDSB48R02,E-2,REO02     E-2
JTB-E12-002-12.D,SWD,SB,48,CTRL03,C03,SWDSB48C03,E-2,CTRL03     E-2
JTB-E12-002-13.D,SWD,SB,48,REP03,R03,SWDSB48R03,E-2,REP03     E-2
